localidade;nome_localidade;idade_calculada;renda_ind
5326;Sobradinho II;37;1000
5314;São Sebastião;31;600
5303;Taguatinga;57;10000
5311;Cruzeiro;54;7000
5241;Águas Lindas de Goiás;62;600
5326;Sobradinho II;34;800
5309;Ceilândia;51;1250
5242;Alexânia;63;1412
5304;Brazlândia;57;1302
5324;Park Way;52;18000
5242;Alexânia;42;600
5304;Brazlândia;79;1400
5242;Alexânia;89;2262
5249;Padre Bernardo;33;1300
5248;Novo Gama;62;1412
5249;Padre Bernardo;43;600
5315;Recanto Das Emas;70;1320
5244;Cristalina;15;112
5321;Riacho Fundo II;35;2500
5321;Riacho Fundo II;40;4600
5244;Cristalina;53;650
5244;Cristalina;17;200
5319;Candangolândia;57;14500
5336;Área Rural;78;3600
5304;Brazlândia;67;250
5309;Ceilândia;50;1400
5325;SCIA;43;700
5325;SCIA;39;1320
5327;Jardim Botânico;35;3500
5249;Padre Bernardo;76;1412
5249;Padre Bernardo;68;1412
5248;Novo Gama;55;1320
5314;São Sebastião;36;800
5314;São Sebastião;27;800
5247;Luziânia;33;1650
5247;Luziânia;29;300
5247;Luziânia;11;50
5246;Formosa;30;1412
5245;Cocalzinho de Goiás;16;1412
5331;Fercal;27;1100
5243;Cidade Ocidental;46;700
5316;Lago Sul;73;37100
5316;Lago Sul;73;4950
5326;Sobradinho II;72;1320
5330;Vicente Pires;27;800
5245;Cocalzinho de Goiás;12;300
5245;Cocalzinho de Goiás;10;300
5245;Cocalzinho de Goiás;33;3130
5246;Formosa;60;1380
5302;Gama;22;650
5335;Água Quente;74;1350
5335;Água Quente;74;1500
5330;Vicente Pires;37;800
5331;Fercal;22;250
5318;Lago Norte;47;1412
5310;Guará;75;20000
5303;Taguatinga;74;20000
5314;São Sebastião;70;1412
5314;São Sebastião;65;1412
5314;São Sebastião;38;600
5250;Planaltina de Goiás;76;1320
5250;Planaltina de Goiás;74;1320
5250;Planaltina de Goiás;44;1320
5330;Vicente Pires;77;6000
5330;Vicente Pires;76;1412
5324;Park Way;70;2130
5249;Padre Bernardo;26;1800
5330;Vicente Pires;66;5000
5317;Riacho Fundo;68;1320
5317;Riacho Fundo;70;1320
5317;Riacho Fundo;33;650
5332;Sol Nascente / Pôr do Sol;50;375
